公司編號,公司名稱
1C71050,威能機械鈑金
1C33188,協和特精密鈑
1C22066,郅盛興業有限
1C23055-1,聯蕭機械工業
1C46112,穩盈鈑金工業(
1C92056,鼎鑫金屬有限
A0213,馬力強有限公
D32192,新豐雷射有限
1C33164,榮蓁科技股份
A0142,易速達科技有
1C46104,毓盛企業社
1C61028,立明板金股份
AA,現金
A0207,國立臺灣大學(
1C16199,永圓攪拌機有
1C16258,威臺機械股份
1C22005,任陽企業(股)公
1C25023,晶鼎鐳射工業
1C21024,德力鐵工廠
1C33170,昌和工業股份
1C46105,沛元有限公司
1C33069,順榮自動化設
1C23014,郁錩企業社
1C23044,立鉌科技有限
1C26250,英屬維京群島
1C81038,立傑興業有限
1C32125,喬偉機械(股)公
1C16043,尚川興業有限
1C16049,岳鴻機械有限
1C81012,加鋐工業有限
1C23056,誼霖興業(股)公
D32180,伍匠工業有限
1C16025,台灣懷霖工業(
Y187,晟佑工業有限
1C46094,伍蓪金屬工業
1C45084,弘鈺精密工業
1C23018,韋聖工業有限
1C13073,先偉機械工業
1C73025,勇鉦鐵工廠有
1C43096,沛珅精密工業
1C23055,振蕭機械工業
1C43003,日進精密工業
1C16336,全鈦鈑金工業
1C31077,勁捷科技有限
1C25011,張今(股)公司
1C13019,峻慶科技(股)公
1C31005,天成製模廠
1C46124,聖益機械有限
1C23022,龍德機械工業
1C16164,鉅圖機械股份
1C22056,鑫旭盛金屬工
1C51023,研將企業有限
1C43092,中熒股份有限
1C32186,良育實業股份
1C81001,煥馥興業(股)公
1C24010,年發鐵工廠
1C16190,英達茂股份有
1C92015,金瀯機械(股)公
1C25020,欣鍠機械工業
1C16235,盛鎰鈑金有限
1C45025,炬將科技(股)公
1C16025-1,台灣懷霖工業(
1C13074,丞創股份有限
1C14035,宸鋒精密機械
1C46024-1,震鑫事業有限
1C32181,偉泰企業社
1C92038,東立鐵工廠
1C23047,鉅銘科技有限
1C16331,鴻群板金工業
1C26020,大東揚機械(股)
1C15035,達鋌機械(股)公
1C13081,台中侑信精工
D46139,聯郁防火捲門
1C32020,丞德興業(股)公
1C23034,高明精機工業
1C15012,立韙鐵工廠有
1C23066,利通電梯有限
Y183,協鉦鋼鐵股份
1C72049-2,裕晟鐵工廠
1C16337,祥銨金屬股份
